brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,engine,seats,selling_price
Mahindra,XUV500,9,185000,Diesel,Manual,15.1,2179,7,600000
Maruti,Swift Dzire,8,90000,Diesel,Manual,23.4,1248,5,380000
Hyundai,i20,3,15000,Diesel,Manual,22.54,1396,5,850000
Hyundai,i20,3,40000,Petrol,Manual,18.6,1197,5,598000
Honda,City,6,31180,Petrol,Automatic,18,1497,5,700000
Maruti,Swift Dzire,7,56000,Diesel,Manual,23.4,1248,5,410000
Maruti,Baleno,5,52427,Petrol,Automatic,21.4,1197,5,590000
Mahindra,Bolero,1,40000,Diesel,Manual,21,1498,7,850000
Mahindra,KUV100,3,17000,Petrol,Manual,18.15,1198,5,550000
Maruti,Baleno,5,22000,Petrol,Manual,15.4,1590,5,625000
Maruti,Swift Dzire,5,54000,Petrol,Manual,20.85,1197,5,600000
Maruti,Wagon R,2,10000,Petrol,Manual,20.51,998,5,445000
Maruti,Ignis,2,20000,Petrol,Manual,20.89,1197,5,530000
Maruti,Wagon R,3,53237,CNG,Manual,26.6,998,5,410000
Datsun,RediGO,3,27263,Petrol,Manual,22.5,999,5,350000
Hyundai,Verna,7,110000,Diesel,Manual,22.32,1582,5,520000
Hyundai,i20,5,70000,Diesel,Manual,22.54,1396,5,750000
Maruti,Swift Dzire,4,70000,Diesel,Manual,26.59,1248,5,560000
Hyundai,i20,2,39000,Petrol,Manual,18.6,1197,5,655000
Hyundai,Santro,14,56000,Petrol,Manual,17.8,1086,5,125000
Hyundai,i20,3,34000,Petrol,Manual,18.6,1197,5,550000
Mahindra,Scorpio,4,50000,Diesel,Manual,15.4,1997,7,1150000
Volkswagen,Vento,9,77400,Diesel,Manual,20.54,1598,5,500000
Mahindra,Marazzo,2,36000,Diesel,Manual,17.3,1497,7,990000
Hyundai,Verna,8,47876,Diesel,Manual,25,1493,5,551000
Mahindra,XUV500,3,21500,Diesel,Automatic,15.1,2179,7,1650000
Hyundai,Grand,6,75000,Diesel,Manual,24,1120,5,350000
Ford,Aspire,4,58000,Petrol,Manual,18.16,1196,5,500000
Maruti,Swift Dzire,3,30000,Petrol,Manual,21.21,1197,5,575000
Hyundai,Grand,3,50000,Diesel,Manual,24,1186,5,545000
Ford,Figo,4,19093,Petrol,Manual,18.16,1196,5,525000
Honda,Amaze,7,50000,Petrol,Manual,18,1198,5,400000
Maruti,Wagon R,15,37000,Petrol,Manual,14,1061,5,155000
Maruti,Swift Dzire,5,47000,Diesel,Manual,26.59,1248,5,545000
Honda,City,8,70000,Petrol,Manual,16.8,1497,5,545000
Renault,KWID,5,25000,Petrol,Manual,25.17,799,5,240000
Maruti,Vitara,3,26000,Diesel,Manual,24.3,1248,5,725000
Ford,Aspire,4,30000,Petrol,Manual,18.16,1196,5,480000
Hyundai,i20,8,15000,Petrol,Manual,18.5,1197,5,375000
Maruti,Swift,10,160000,Diesel,Manual,17.8,1248,5,225000
Tata,Tiago,4,32100,Petrol,Manual,23.84,1199,5,400000
Hyundai,i20,5,22000,Petrol,Manual,18.5,1197,5,550000
Mahindra,Scorpio,5,44000,Diesel,Manual,15.4,2179,7,1050000
Volkswagen,Polo,5,78000,Petrol,Manual,18.78,1198,5,450000
Mercedes-Benz,C-Class,9,74352,Petrol,Automatic,11.74,1796,5,775000
Maruti,Wagon R,7,37000,Petrol,Manual,20.51,998,5,350000
Honda,City,7,69000,Diesel,Manual,25.1,1498,5,550000
Kia,Seltos,2,12120,Petrol,Manual,16.8,1497,5,1080000
Maruti,Baleno,5,52000,Petrol,Manual,21.01,1197,5,575000
Toyota,Innova,5,120000,Diesel,Manual,12.99,2494,8,950000
Maruti,Alto,8,55000,Petrol,Manual,22.74,796,5,230000
Hyundai,i20,10,160000,Diesel,Manual,21.9,1396,5,270000
Ford,Figo,10,40000,Petrol,Manual,15.6,1196,5,130000
Maruti,Swift Dzire,9,46000,Petrol,Manual,19.1,1197,5,370000
Maruti,Baleno,4,25000,Petrol,Manual,21.4,1197,5,570000
Volkswagen,Polo,8,90000,Diesel,Manual,22.07,1199,5,365000
Hyundai,i20,9,49566,Petrol,Manual,18.5,1197,5,280000
Hyundai,Verna,3,14000,Diesel,Automatic,22,1582,5,1250000
Hyundai,i20,5,11000,Petrol,Manual,18.6,1197,5,590000
Maruti,Celerio,3,5000,Petrol,Automatic,23.1,998,5,475000
Ford,Ecosport,4,55000,Diesel,Manual,23,1498,5,685000
Hyundai,Verna,9,65000,Diesel,Automatic,19.08,1582,5,380000
Renault,KWID,3,22000,Petrol,Manual,23.01,999,5,330000
Maruti,Baleno,3,7671,Petrol,Manual,21.01,1197,5,650000
Maruti,Wagon R,5,66000,Petrol,Manual,20.51,998,5,325000
Maruti,Swift Dzire,3,45156,Petrol,Automatic,21.21,1197,5,640000
Hyundai,Venue,2,25000,Petrol,Manual,18.27,998,5,949000
Hyundai,Verna,6,120000,Diesel,Manual,23.9,1582,5,660000
Maruti,Swift,7,28000,Petrol,Manual,16.1,1197,5,435000
Hyundai,i20,8,55000,Diesel,Manual,21.9,1396,5,385000
Hyundai,Verna,2,14000,Diesel,Automatic,22,1582,5,1250000
Maruti,Wagon R,12,98780,Petrol,Manual,18.9,998,5,155000
Maruti,Swift,6,58000,Diesel,Manual,25.2,1248,5,415000
Maruti,Alto,10,30000,Petrol,Manual,20.92,998,5,251000
Mahindra,Scorpio,5,46400,Diesel,Manual,15.4,2179,7,1150000
Hyundai,i10,7,32111,Petrol,Manual,19.81,1086,5,310000
Datsun,GO,6,35000,Petrol,Manual,19.44,1198,7,350000
Mahindra,Scorpio,4,30000,Diesel,Manual,15.4,1997,7,1125000
BMW,5,5,63000,Diesel,Automatic,18.59,2993,5,2600000
Datsun,GO,3,10000,Petrol,Manual,20.62,1198,7,480000
Maruti,Swift Dzire,4,25000,Diesel,Automatic,28.4,1248,5,850000
Hyundai,Creta,4,102000,Diesel,Automatic,17.01,1582,5,1100000
Maruti,Swift,3,35000,Petrol,Manual,22,1197,5,575000
Maruti,Swift Dzire,9,49948,Petrol,Manual,17.5,1298,5,340000
Ford,Ecosport,3,55000,Diesel,Manual,23,1498,5,925000
Hyundai,Grand,6,36000,Petrol,Manual,18.9,1197,5,400000
Honda,City,5,49625,Petrol,Manual,17.8,1497,5,725000
Maruti,Swift Dzire,7,35000,Diesel,Manual,23.4,1248,5,600000
Mahindra,Scorpio,8,95000,Diesel,Manual,12.05,2179,8,550000
Ford,Aspire,4,36000,Diesel,Manual,25.83,1498,5,585000
Maruti,Wagon R,2,50000,Petrol,Manual,21.79,998,5,411000
Maruti,Swift Dzire,6,26500,Petrol,Manual,20.85,1197,5,450000
Honda,CR-V,6,80000,Petrol,Automatic,13.7,1997,5,1290000
Volkswagen,Polo,6,46000,Petrol,Manual,16.47,1198,5,455000
Hyundai,Grand,2,9000,Petrol,Manual,20.7,1197,5,710000
Honda,City,5,53000,Petrol,Manual,16.8,1497,5,770000
Ford,Endeavour,3,11387,Diesel,Automatic,10.91,3198,7,2900000
Honda,Amaze,3,50000,Diesel,Manual,25.8,1498,5,720000
Mahindra,KUV,5,52000,Diesel,Manual,25.32,1198,5,375000
Datsun,GO,6,35000,Petrol,Manual,19.44,1198,7,400000
Renault,Duster,6,48000,Diesel,Manual,19.87,1461,5,600000
Honda,Jazz,3,18000,Petrol,Manual,18.7,1199,5,600000
Maruti,Wagon R,9,57413,LPG,Manual,14.4,998,5,270000
Hyundai,i20,6,30000,Petrol,Manual,18.6,1197,5,500000
Hyundai,Verna,6,55000,Diesel,Manual,23.9,1582,5,650000
Maruti,Swift,3,10000,Petrol,Automatic,21.21,1197,5,660000
BMW,3,5,68000,Diesel,Automatic,22.69,1995,5,2090000
Kia,Seltos,1,8000,Petrol,Manual,16.8,1497,5,1275000
Maruti,Swift,6,65000,Diesel,Manual,28.4,1248,5,495000
Hyundai,Grand,5,25000,Petrol,Manual,18.9,1197,5,475000
Maruti,Ciaz,6,70000,Petrol,Manual,20.73,1373,5,530000
Tata,Tiago,5,9500,Petrol,Manual,23.84,1199,5,530000
Hyundai,Verna,6,9100,Petrol,Manual,17.01,1591,5,650000
Honda,City,11,86000,Petrol,Manual,17,1497,5,335000
Audi,A4,8,78000,Diesel,Automatic,16.55,1968,5,1290000
Ford,Figo,10,60000,Diesel,Manual,20,1399,5,300000
Maruti,Wagon R,2,7883,Petrol,Automatic,21.5,1197,5,550000
Maruti,Swift Dzire,8,50205,Diesel,Manual,23.4,1248,5,390000
Mahindra,Bolero,13,220000,Diesel,Manual,13.6,2523,7,260000
Tata,Tigor,4,58000,Diesel,Manual,24.7,1047,5,395000
Mahindra,Scorpio,9,170000,Diesel,Manual,12.05,2179,8,550000
Maruti,Swift Dzire,3,15000,Petrol,Manual,22,1197,5,650000
Maruti,Swift,5,71245,Diesel,Manual,28.4,1248,5,375000
Kia,Seltos,2,7000,Petrol,Manual,16.1,1353,5,1300000
Maruti,Alto,3,20000,Petrol,Manual,23.95,998,5,360000
Maruti,Celerio,1,8700,Petrol,Manual,21.63,998,5,505000
Maruti,Alto,2,25000,Petrol,Manual,24.7,796,5,310000
Hyundai,i20,6,42000,Petrol,Manual,18.6,1197,5,545000
Mahindra,Bolero,15,120000,Diesel,Manual,13.6,2523,7,150000
Maruti,Baleno,3,50000,Petrol,Manual,21.4,1197,5,580000
Maruti,Wagon R,10,58000,Petrol,Manual,18.9,998,5,250000
Hyundai,Verna,4,36000,Petrol,Manual,17.43,1396,5,650000
Maruti,Ertiga,3,30000,Diesel,Manual,25.47,1248,7,410000
Ford,Ecosport,6,162828,Diesel,Manual,22.77,1498,5,531000
Ford,Ecosport,3,7500,Diesel,Manual,23,1498,5,890000
Tata,Safari,5,47227,Diesel,Manual,14,2179,7,775000
Maruti,Wagon R,3,52000,CNG,Manual,33.54,998,5,435000
Ford,Figo,9,74000,Diesel,Manual,20,1399,5,185000
Mahindra,Bolero,10,47000,Diesel,Manual,15.96,2523,7,440000
Hyundai,i20,6,50000,Petrol,Manual,18.6,1197,5,450000
Maruti,Baleno,4,100000,Petrol,Manual,21.4,1197,5,600000
Maruti,Celerio,7,35000,Petrol,Manual,23.1,998,5,320000
Hyundai,i20,5,50000,Diesel,Manual,21.19,1396,5,700000
Ford,Aspire,3,10000,Petrol,Manual,18.16,1196,5,630000
Maruti,Alto,5,10370,Petrol,Manual,22.74,796,5,320000
Honda,City,8,62000,Petrol,Manual,16.8,1497,5,465000
Hyundai,i20,5,40000,Petrol,Manual,18.6,1197,5,550000
Maruti,Swift,4,60000,Petrol,Manual,22,1197,5,445000
Tata,Safari,8,67231,Diesel,Manual,14,2179,7,705000
Maruti,Wagon R,8,64000,CNG,Manual,33.54,998,5,270000
Honda,City,7,63000,Diesel,Manual,26,1498,5,475000
Toyota,Fortuner,6,80000,Diesel,Manual,12.55,2982,7,1755000
Honda,City,10,55000,Petrol,Manual,16.9,1497,5,350000
Hyundai,i20,5,11000,Petrol,Manual,18.6,1197,5,575000
Renault,KWID,4,17000,Petrol,Manual,23.01,999,5,360000
Maruti,Alto,4,25000,Petrol,Manual,24.7,796,5,275000
Datsun,GO,5,33350,Petrol,Manual,19.44,1198,7,320000
Hyundai,Grand,6,62000,Petrol,Manual,18.9,1197,5,370000
Maruti,Swift Dzire,12,59000,Petrol,Manual,17.5,1298,5,275000
Honda,City,7,86113,Petrol,Manual,17.4,1497,5,550000
Maruti,Swift Dzire,3,10000,Diesel,Manual,28.4,1248,5,750000
Maruti,Wagon R,6,92537,Petrol,Manual,20.51,998,5,272000
Maruti,Ciaz,2,27645,Diesel,Manual,28.09,1248,5,951000
Maruti,Alto,8,46242,Petrol,Manual,20.92,998,5,280000
Honda,City,8,70000,Petrol,Manual,16.8,1497,5,545000
Renault,KWID,1,6000,Petrol,Manual,22.3,799,5,450000
Hyundai,i20,4,64000,Petrol,Manual,18.6,1197,5,480000
Mahindra,Scorpio,4,93000,Diesel,Manual,15.4,1997,7,1060000
Maruti,Alto,8,26200,Petrol,Manual,22.74,796,5,235000
Maruti,Baleno,4,25000,Petrol,Manual,21.4,1197,5,590000
Toyota,Fortuner,3,50000,Diesel,Automatic,12.9,2755,7,2950000
Hyundai,Santro,13,80000,Petrol,Manual,17.92,1086,5,110000
Mahindra,Scorpio,14,110000,Diesel,Manual,13.5,2179,5,280000
Audi,A4,5,55000,Petrol,Automatic,17.84,1395,5,1851000
Honda,City,3,25000,Petrol,Manual,17.4,1497,5,750000
Hyundai,Grand,6,36000,Petrol,Manual,18.9,1197,5,400000
Maruti,Swift Dzire,6,40000,Diesel,Manual,26.59,1248,5,530000
Mahindra,Thar,3,25000,Diesel,Manual,16.55,2498,6,870000
Renault,KWID,3,30038,Petrol,Manual,25.17,799,5,295000
Tata,Tiago,4,53000,Diesel,Manual,27.28,1047,5,370000
Maruti,Swift,3,5000,Petrol,Manual,21.21,1197,5,530000
Renault,KWID,4,35000,Petrol,Automatic,24.04,999,5,350000
Ford,Ecosport,8,62000,Diesel,Manual,22.7,1498,5,470000
Ford,Aspire,6,42000,Diesel,Manual,25.83,1498,5,390000
Mahindra,Scorpio,6,80000,Diesel,Manual,15.4,2179,7,920000
Mahindra,XUV500,8,60000,Diesel,Manual,15.1,2179,7,550000
Hyundai,Verna,7,45000,Diesel,Manual,22.32,1582,5,635000
Mahindra,XUV500,4,50000,Diesel,Automatic,16,2179,7,1250000
Maruti,Alto,3,12000,Petrol,Manual,24.7,796,5,300000
Honda,City,3,12000,Petrol,Automatic,18,1497,5,960000
Maruti,Vitara,3,15000,Diesel,Manual,24.3,1248,5,750000
Volkswagen,Polo,10,63000,Petrol,Manual,16.47,1198,5,249000
Tata,Hexa,3,30000,Diesel,Manual,17.6,2179,7,1400000
Ford,Figo,10,160800,Diesel,Manual,20,1399,5,250000
Hyundai,Verna,7,120000,Diesel,Manual,22.32,1582,5,610000
Ford,Ecosport,5,78247,Diesel,Manual,21.7,1498,5,545000
Hyundai,Verna,8,113000,Diesel,Manual,22.32,1582,5,480000
Hyundai,i20,7,52000,Petrol,Manual,18.6,1197,5,395000
Toyota,Innova,9,109000,Diesel,Manual,12.99,2494,7,495000
Hyundai,Grand,4,90000,Petrol,Manual,18.9,1197,5,470000
Volkswagen,Polo,10,98000,Diesel,Manual,22.07,1199,5,200000
Hyundai,i20,5,20000,Diesel,Manual,21.19,1396,5,699000
Maruti,Wagon R,7,21717,Petrol,Manual,20.51,998,5,340000
Renault,Duster,7,40000,Diesel,Manual,20.45,1461,5,500000
Honda,City,4,50000,Petrol,Manual,17.14,1497,5,1050000
Renault,Duster,5,90000,Diesel,Manual,19.6,1461,5,600000
Maruti,Swift,4,27876,Petrol,Manual,20.4,1197,5,491000
Land Rover,Rover,5,56000,Petrol,Automatic,12.63,1999,5,2890000
Hyundai,i10,13,57215,Petrol,Manual,20.36,1197,5,160000
Hyundai,Venue,2,5400,Petrol,Manual,18.27,998,5,985000
Maruti,Swift Dzire,7,60000,Diesel,Manual,23.4,1248,5,500000
Tata,Tiago,4,24800,Petrol,Manual,23.84,1199,5,335000
Maruti,Alto,16,70000,Petrol,Manual,19.7,796,5,85000
Honda,Jazz,3,20000,Petrol,Automatic,17.1,1199,5,740000
Maruti,Swift,8,34553,Petrol,Manual,22,1197,5,375000
Maruti,Vitara,3,40000,Diesel,Manual,24.3,1248,5,810000
Volkswagen,Polo,11,350000,Petrol,Manual,16.47,1198,5,173000
Maruti,Vitara,4,50000,Diesel,Manual,24.3,1248,5,700000
Mahindra,KUV,5,70000,Diesel,Manual,25.32,1198,6,310000
Mahindra,Scorpio,4,120000,Diesel,Manual,15.4,1997,7,850000
Hyundai,i20,8,90000,Diesel,Manual,22.54,1396,5,285000
Maruti,Swift Dzire,7,120000,Diesel,Manual,23.4,1248,5,450000
Hyundai,Creta,4,80000,Diesel,Manual,19.67,1582,5,1100000
Mahindra,Scorpio,4,30000,Diesel,Manual,15.4,1997,7,1080000
Honda,City,7,66100,Diesel,Manual,26,1498,5,530000
Maruti,Swift Dzire,4,50000,Diesel,Manual,28.4,1248,5,680000
Mahindra,Scorpio,4,42000,Diesel,Manual,15.4,1997,7,1025000
Hyundai,i20,4,55000,Petrol,Manual,18.6,1197,5,650000
Hyundai,i10,9,110699,Petrol,Manual,20.36,1197,5,194000
Maruti,Baleno,2,5000,Petrol,Automatic,21.4,1197,5,686000
Maruti,Alto,5,50000,Petrol,Manual,22.74,796,5,200000
Maruti,Swift Dzire,11,44000,Petrol,Manual,19.1,1197,5,250000
Maruti,Vitara,3,90000,Diesel,Manual,24.3,1248,5,730000
Hyundai,Verna,5,55000,Petrol,Manual,17.01,1591,5,650000
Maruti,Vitara,4,45000,Diesel,Manual,24.3,1248,5,790000
Maruti,Baleno,4,30000,Petrol,Manual,21.4,1197,5,620000
Hyundai,Verna,8,50000,Petrol,Manual,17.01,1591,5,510000
Maruti,Eeco,8,20000,Petrol,Manual,15.37,1196,5,375000
Maruti,Swift Dzire,4,19843,Petrol,Automatic,21.21,1197,5,620000
Ford,Endeavour,10,30000,Diesel,Automatic,11.4,2953,7,950000
Toyota,Innova,4,52300,Diesel,Manual,13.68,2393,7,1450000
Honda,City,5,40000,Petrol,Automatic,18,1497,5,845000
Maruti,Swift Dzire,7,61500,Diesel,Manual,23.4,1248,5,390000
Honda,Amaze,6,59000,Petrol,Manual,18,1198,5,395000
Hyundai,Grand,3,40000,Petrol,Manual,18.9,1197,5,450000
Audi,A6,8,60000,Diesel,Automatic,17.68,1968,5,1700000
Hyundai,Grand,8,61000,Petrol,Manual,18.9,1197,5,325000
Mahindra,KUV,5,70000,Diesel,Manual,25.32,1198,6,350000
Mahindra,XUV500,8,63000,Diesel,Manual,15.1,2179,7,650000
Mercedes-Benz,E-Class,9,58000,Petrol,Manual,12.3,1796,5,1250000
Maruti,Swift Dzire,4,22000,Diesel,Manual,28.4,1248,5,750000
Honda,City,11,57977,Petrol,Manual,17,1497,5,299000
Land Rover,Rover,3,13000,Petrol,Automatic,12.19,1997,4,7000000
Mini,Cooper,9,67000,Petrol,Automatic,17.33,1998,4,1325000
Maruti,Ertiga,7,48242,Diesel,Manual,20.77,1248,7,524000
Ford,Figo,9,68000,Diesel,Manual,20,1399,5,169000
Maruti,Ertiga,7,40000,Diesel,Manual,20.77,1248,7,500000
Audi,Q7,9,98000,Diesel,Automatic,12.07,2967,7,2000000
Maruti,Swift Dzire,8,113450,Diesel,Manual,23.4,1248,5,380000
Maruti,Wagon R,3,80000,Petrol,Automatic,20.51,998,5,400000
Hyundai,Santro,1,1000,Petrol,Automatic,20.3,1086,5,565000
Maruti,Wagon R,6,20292,Petrol,Manual,20.51,998,5,335000
Mahindra,Scorpio,11,67900,Diesel,Manual,12.05,2179,7,300000
Mahindra,Scorpio,6,40000,Diesel,Manual,15.4,1997,7,1051000
Hyundai,Grand,4,60000,Diesel,Manual,24,1186,5,510000
Renault,KWID,3,25000,Petrol,Automatic,24.04,999,5,370000
Maruti,Wagon R,15,70000,Petrol,Manual,18.9,998,5,200000
Maruti,Baleno,3,21000,Diesel,Manual,27.39,1248,5,625000
Mahindra,Scorpio,3,39000,Diesel,Manual,16.36,2179,7,1290000
Hyundai,Creta,4,30000,Petrol,Manual,15.8,1591,5,890000
Hyundai,Verna,9,61000,Diesel,Manual,22.32,1582,5,420000
Maruti,Swift,4,5743,Petrol,Manual,20.4,1197,5,500000
Hyundai,Grand,3,24200,Petrol,Manual,18.9,1197,5,600000
Maruti,Baleno,4,57000,Diesel,Manual,27.39,1248,5,590000
Hyundai,i10,10,58000,Petrol,Manual,20.36,1197,5,190000
Datsun,GO,4,15000,Petrol,Manual,19.44,1198,7,500000
Maruti,Celerio,4,10000,Petrol,Manual,23.1,998,5,450000
Mahindra,XUV500,6,100000,Diesel,Manual,15.1,2179,7,650000
BMW,Z4,1,2000,Petrol,Automatic,11.29,2998,2,8250000
Maruti,Wagon R,1,10000,Petrol,Manual,20.52,1197,5,500000
Maruti,Alto,12,43000,Petrol,Manual,19.7,796,5,140000
Honda,Amaze,8,64000,CNG,Manual,18,1198,5,349000
Maruti,Wagon R,7,30000,Petrol,Manual,20.51,998,5,325000
Honda,City,7,63000,Petrol,Manual,17.8,1497,5,435000
Maruti,Celerio,3,28000,CNG,Manual,31.79,998,5,455000
Land Rover,Rover,3,25000,Petrol,Automatic,9.17,2995,7,6200000
Honda,City,4,32226,Petrol,Manual,17.8,1497,5,755000
Maruti,Alto,7,65000,Petrol,Manual,23.95,998,5,245000
Kia,Seltos,2,14000,Diesel,Manual,20.8,1493,5,1350000
Renault,KWID,3,15000,Petrol,Automatic,24.04,999,5,310000
BMW,6,3,30000,Petrol,Automatic,14.28,1998,4,5500000
Maruti,Swift Dzire,3,32000,Diesel,Manual,19.3,1248,5,675000
Maruti,Wagon R,2,30000,Petrol,Manual,20.52,1197,5,500000
Hyundai,i10,11,25000,Petrol,Manual,20.36,1197,5,300000
Mahindra,Scorpio,5,35000,Diesel,Automatic,15.4,2179,7,1450000
Mahindra,Scorpio,8,140000,Diesel,Manual,12.05,2179,8,530000
Ford,Ecosport,7,65597,Diesel,Manual,22.7,1498,5,575000
Hyundai,i20,4,35000,Petrol,Manual,18.6,1197,5,550000
Maruti,Ciaz,7,160000,Diesel,Manual,26.21,1248,5,500000
Maruti,Baleno,1,7124,Petrol,Manual,21.01,1197,5,643000
Ford,Ecosport,2,15000,Petrol,Manual,18.1,999,5,1000000
Hyundai,Grand,5,34000,Petrol,Manual,18.9,1197,5,550000
Volkswagen,Vento,10,280000,Diesel,Manual,20.54,1598,5,300000
Tata,Tigor,3,40000,Petrol,Manual,20.3,1199,5,470000
Honda,City,7,77000,Diesel,Manual,26,1498,5,525000
Datsun,GO,4,15000,Petrol,Manual,19.44,1198,7,469000
Maruti,Alto,9,60000,Petrol,Manual,20.92,998,5,210000
Maruti,Alto,8,120000,Petrol,Manual,22.74,796,5,200000
Renault,KWID,2,2500,Petrol,Manual,23.01,999,5,400000
Jaguar,XF,8,50000,Diesel,Automatic,16.36,2179,5,2150000
Maruti,Celerio,5,46500,Petrol,Manual,23.1,998,5,340000
Maruti,Alto,16,5000,Petrol,Manual,19.7,796,5,95000
Maruti,Swift,9,68000,Diesel,Manual,22.9,1248,5,381000
Mercedes-Benz,C-Class,10,45000,Diesel,Automatic,14.94,2143,5,775000
Maruti,Swift Dzire,4,20000,Diesel,Manual,28.4,1248,5,700000
Maruti,Ciaz,4,106000,Diesel,Manual,28.09,1248,5,675000
Honda,City,6,28000,Petrol,Automatic,18,1497,5,670000
Mahindra,XUV500,3,50000,Diesel,Manual,16,2179,7,1050000
BMW,X5,2,19000,Diesel,Automatic,13.38,2993,5,7900000
Honda,City,10,55000,Petrol,Manual,17,1497,5,360000
Ford,Figo,4,53000,Diesel,Manual,25.83,1498,5,400000
Hyundai,Verna,7,89000,Diesel,Manual,22.32,1582,5,470000
Maruti,Alto,3,22000,Petrol,Manual,24.7,796,5,304000
Honda,City,7,69000,Diesel,Manual,26,1498,5,490000
Mahindra,Scorpio,5,155000,Diesel,Manual,15.4,1997,7,864000
Mahindra,XUV500,8,85000,Diesel,Manual,16,2179,7,480000
Maruti,Wagon R,2,3600,Petrol,Automatic,20.52,1197,5,575000
Maruti,Baleno,2,5000,Petrol,Automatic,21.4,1197,5,686000
Toyota,Innova,6,143000,Diesel,Manual,12.99,2494,7,780000
Audi,A6,3,24000,Diesel,Automatic,17.68,1968,5,3490000
MG,Hector,2,28000,Diesel,Manual,17.41,1956,5,1699000
Maruti,Swift,2,44000,Diesel,Manual,28.4,1248,5,800000
Maruti,Baleno,3,10000,Petrol,Automatic,21.4,1197,5,680000
Toyota,Fortuner,11,200000,Diesel,Manual,11.5,2982,7,1200000
Toyota,Innova,9,187031,Diesel,Manual,12.99,2494,8,525000
Ford,Ecosport,2,22346,Petrol,Manual,17,1497,5,955000
Hyundai,i20,9,120000,Diesel,Manual,21.9,1396,5,350000
Maruti,Vitara,1,1000,Petrol,Manual,17.03,1462,5,800000
Maruti,Alto,16,56700,Petrol,Manual,19.7,796,5,75000
Mahindra,XUV500,6,170000,Diesel,Manual,16,2179,7,825000
Mahindra,Marazzo,2,60000,Diesel,Manual,17.3,1497,8,1476000
Honda,Jazz,3,40000,Petrol,Automatic,18.2,1199,5,670000
Maruti,Alto,9,28000,Petrol,Manual,19.7,796,5,180000
Hyundai,Grand,4,35000,Petrol,Manual,18.9,1197,5,490000
Maruti,Baleno,4,20000,Petrol,Manual,21.4,1197,5,550000
Hyundai,i10,7,40000,Petrol,Manual,20.36,1197,5,350000
Toyota,Innova,2,35000,Diesel,Manual,13.68,2393,8,1500000
Ford,Figo,9,74000,Diesel,Manual,20,1399,5,190000
Renault,Duster,7,46500,Diesel,Manual,20.45,1461,5,460000
Maruti,Swift,2,8000,Petrol,Automatic,21.21,1197,5,650000
Maruti,Ciaz,5,120000,Diesel,Manual,28.09,1248,5,700000
Maruti,Swift,4,34000,Petrol,Manual,20.4,1197,5,455000
Maruti,Swift,7,54000,Petrol,Manual,22,1197,5,365000
Maruti,Swift Dzire,7,11275,Petrol,Manual,19.1,1197,5,470000
Toyota,Fortuner,3,35000,Diesel,Automatic,12.9,2755,7,2950000
Maruti,Swift,9,48000,Diesel,Manual,22.9,1248,5,400000
Renault,Duster,6,68000,Diesel,Manual,19.87,1461,5,550000
